Postcode,Borough,Neighbourhood,Latitude,Longitude
76159,Queretaro,"Real de San Pablo, 5 de Febrero, Fresnos Condominio 3, Fresnos Condominio 2, Conjunto Queretaro, Fresnos Condominio 4, La Cima, Real Jurica, Rinconada San Joaquín, Los Girasoles, San Pablo, Balcón Campestre",20.6154964806583,-100.415704609234
76160,Queretaro,"Rinconada de los Alamos, Montecarlo, Privada Bugambilias, Residencial Parque del Álamo, Las Hadas, Romy, El Tepetate, Las Brujas, Álamos 1a Sección, El Cerrito, Álamos 3a Sección, Álamos 2a Sección",20.6057320235745,-100.383927423967
76164,Queretaro,"Nacozari, Las Rosas, Primavera",20.60091229130770,-100.39443611057700
76165,Queretaro,"Margaritas, San Sebastián, Guadalupe Victoria (SAHOP), Los Claustros, Los Cedros",20.600800253732500,-100.39014375069600
76166,Queretaro,La Trinidad,20.603716965984500,-100.38821628315200
76168,Queretaro,"Claustros del Parque, Residencial Bosques, Mega Plaza, Lomas de Lindavista, Jacarandas, Industria del Hierro, Las Gemas, Quinta La Laborcilla, Lindavista",20.60606852080920,-100.39301414783700
76169,Queretaro,"Plaza del Parque, Plaza Boulevares, Privada la Laborcilla",20.614491425378600,-100.39066676510600
76170,Queretaro,"Eucaliptos III, La Capilla, Colibrí, La Reja, Eucaliptos I, Eucaliptos II",20.578725836923600,-100.41236664252000
76175,Queretaro,Los Virreyes,20.578698746566,-100.406145897771
76176,Queretaro,Prados de La Capilla,20.580317709522600,-100.40979201423100
76177,Queretaro,"Residencial Parque La Gloria, Residencial Villa Jardín, Residencial laToscana, Hacienda Galindo, Frida Kahlo, Provincia Santa Elena, Demetrio Vallejo, Villas de San Antonio, Residencial Frondoso, La Carambada, Rinconada La Capilla, Modelo, Ejido Modelo, Galindas Residencial, Residencial Gema, Carolina",20.5834081742582,-100.424819041312
76178,Queretaro,"Ensueño, Villa las Arboledas, El Rosario, La Sandia, Residencial los Ángeles",20.58201607392770,-100.41386028849900
76179,Queretaro,"C.E.A., Quinta Alicia, Residencial Italia, Santiago, El Sillar",20.5896914211326,-100.41750405829
76180,Queretaro,"El Jacal, Jardines de la Hacienda, La Granja, Las Plazas, Orquídeas, Magisterial, La Joya, Anáhuac",20.56719179433880,-100.41285347163600
76185,Queretaro,"Mansiones del Valle, Hacienda San Miguel, Claustros del Campestre",20.5639622875,-100.41417523750000
76190,Queretaro,"Rincón de San Antonio, Los Pilares, Del Valle, Club Campestre, Lomas de Queretaro",20.5641278031445,-100.406943562235
76197,Queretaro,Fidel Velázquez Sánchez,20.5711835000883,-100.400995982726
76199,Queretaro,Prados del Campestre,20.5678026944761,-100.409117619709
76210,Queretaro,"Jofrito, La Estacada, La Gotera",20.843917908622,-100.387865480073
76211,Queretaro,Ojo de Agua,20.8802266738265,-100.407443517388
