,,,
Postcode,Neighbourhood,Zoning,Borough
76148,El Castaño II,Fraccionamiento,Queretaro
76148,Mallorca,Fraccionamiento,Queretaro
76148,Mirador San Xavier,Fraccionamiento,Queretaro
76148,Lomas de San Pedrito,Colonia,Queretaro
76148,Amalia Solórzano,Colonia,Queretaro
76148,Los Sabinos,Colonia,Queretaro
76148,San Pedrito Ecológico,Colonia,Queretaro
76148,Ricardo Flores Magón,Colonia,Queretaro
76148,San Pedrito Peñuelas I,Colonia,Queretaro
76148,San Pedrito Peñuelas II,Colonia,Queretaro
76148,San Pedrito Peñuelas III,Colonia,Queretaro
76148,San Pedrito Peñuelas IV,Colonia,Queretaro
76148,Libertad,Colonia,Queretaro
76148,Lomas de San Pedrito (Sección Portales),Colonia,Queretaro
76148,Reforma Agraria Radical,Colonia,Queretaro
76148,Villas de Santiago,Colonia,Queretaro
76148,Cuesta Azul,Colonia,Queretaro
76148,San Pedrito los Arcos,Fraccionamiento,Queretaro
76148,El Parque,Colonia,Queretaro
76148,Unidad Nacional,Colonia,Queretaro
76148,Conjunto Belén,Fraccionamiento,Queretaro
76148,El Vergel,Fraccionamiento,Queretaro
76148,Los Padilla,Colonia,Queretaro
76148,Eurípides,Fraccionamiento,Queretaro
76148,Villas Fontana,Fraccionamiento,Queretaro
76148,Los Ciruelos,Fraccionamiento,Queretaro
76148,Jardines de Santiago,Fraccionamiento,Queretaro
76148,Bosques de la Hacienda,Colonia,Queretaro
76148,Bosques de Buenavista,Colonia,Queretaro
76148,Nueva Esperanza,Colonia,Queretaro
76148,Ampliación Amalia Solórzano,Colonia,Queretaro
76148,Paseos del Pedregal,Colonia,Queretaro
76148,Colinas de San Pablo,Colonia,Queretaro
76148,Nuevo San Pedrito,Colonia,Queretaro
76148,Paseos de la Cuesta,Fraccionamiento,Queretaro
76148,La Rueca,Fraccionamiento,Queretaro
76148,Valle de San Pedrito Peñuelas,Fraccionamiento,Queretaro
76148,Anexo a la Ecólogia,Colonia,Queretaro
76148,La Ladera,Colonia,Queretaro
76148,Alameda Residencial,Fraccionamiento,Queretaro
76148,Orion,Condominio,Queretaro
76148,Jardines de Villas de Santiago,Fraccionamiento,Queretaro
76148,Bosques de Iturbide,Colonia,Queretaro
76148,Rincones del Parque,Fraccionamiento,Queretaro
76149,Misión San Jerónimo,Fraccionamiento,Queretaro
76149,Misión de Concá,Fraccionamiento,Queretaro
