CP,Neighbourhood,Zoning,Borough
76148,Ampliación Amalia Solórzano,Residential,Queretaro
76116,Ampliación Patria Nueva,Residential,Queretaro
76110,Ampliación Satélite,Residential,Queretaro
76180,Anáhuac,Residential,Queretaro
76040,Andalucía Sección Cordova,Residential,Queretaro
76148,Anexo a la Ecólogia,Residential,Queretaro
76144,Anexo Ejido Bolaños,Residential,Queretaro
76093,Ángeles,Residential,Queretaro
76147,Antorchista,Residential,Queretaro
76150,Asalias,Residential,Queretaro
76100,Atenas,Residential,Queretaro
76085,Azteca,Residential,Queretaro
76125,Balcones de San Pablo,Residential,Queretaro
76100,Bleu Casas Platina,Residential,Queretaro
76148,Bosques de Bella Vista,Residential,Queretaro
76148,Bosques de la Hacienda,Residential,Queretaro
76087,Bosques de las Lomas,Residential,Queretaro
76085,Bosques del Cimatario,Residential,Queretaro
76087,Bosques del Cimatario 2a. Sección,Residential,Queretaro
76116,Bugambilias Residential,Residential,Queretaro
76087,Campestre Italiana,Residential,Queretaro
76139,Carrillo,Residential,Queretaro
76179,C.E.A.,Residential,Queretaro
76140,Cedros Alcatraces,Residential,Queretaro
76140,Cedros Tilipanes,Residential,Queretaro
76117,Centenario,Residential,Queretaro
76000,Centro,Residential,Queretaro
76090,Centro Sur,Residential,Queretaro
76017,Centro Universitario (U.A.Q.),Institutional,Queretaro
76116,Che Guevara (Axayacatl),Residential,Queretaro
76116,Chula Vista I,Residential,Queretaro
76116,Chula Vista II,Residential,Queretaro
76116,Ciudad del Sol,Residential,Queretaro
76093,Claustros de la Catedral,Residential,Queretaro
76093,Claustros de la Corregidora 2,Residential,Queretaro
76093,Claustros de la Corregidora I,Residential,Queretaro
76116,Claustros de la Loma,Residential,Queretaro
76093,Claustros de las Misiones,Residential,Queretaro
76093,Claustros del Marques,Residential,Queretaro
76093,Claustros del Sur,Residential,Queretaro
76093,Claustros de Santiago,Residential,Queretaro
76185,Clautros del Campestre,Residential,Queretaro
76190,Club Campestre,Residential,Queretaro
76147,Colinas de Menchaca 2a Sección,Residential,Queretaro
76148,Colinas de San Pablo,Residential,Queretaro
76087,Comerciantes,Residential,Queretaro
76117,Comevi,Residential,Queretaro
76116,Condominio La Cordillera,Residential,Queretaro
76148,Conjunto Belén,Residential,Queretaro
76159,Conjunto Queretaro,Residential,Queretaro
76147,Constituyentes,Residential,Queretaro
76070,Corregidora (Burocrata),Residential,Queretaro
76110,Cosmos (Satelite),Residential,Queretaro
76063,Cuesta Bonita,Residential,Queretaro
76060,Cumbres del Mirador,Residential,Queretaro
76177,Demetrio Vallejo,Residential,Queretaro
76158,Departamental Parques,Residential,Queretaro
76125,Desarrollo San Ángel,Residential,Queretaro
76125,Desarrollo San Pablo,Residential,Queretaro
76147,Diana Laura Rojas,Residential,Queretaro
76100,Dolce Terra,Residential,Queretaro
76118,Eduardo Loarca,Residential,Queretaro
76147,Ejido Menchaca (Los Pinos),Residential,Queretaro
76177,Ejido Modelo,Residential,Queretaro
76113,El Arcángel,Residential,Queretaro
76147,El Arcángel (La Guayina),Residential,Queretaro
76069,El Bosque,Residential,Queretaro
76137,El Chamizal,Residential,Queretaro
76024,El Cortijo II,Residential,Queretaro
76100,El Destino,Residential,Queretaro
76150,El Fenix,Residential,Queretaro
76138,El Higo,Residential,Queretaro
76148,El Jardín,Residential,Queretaro
76085,El Marqués Queretano,Residential,Queretaro
76144,El Pedregal de Queretaro,Residential,Queretaro
76158,El Porvenir,Residential,Queretaro
76138,El Progreso,Residential,Queretaro
76118,El Romerillal,Residential,Queretaro
76113,El Sol Residential,Residential,Queretaro
76118,El Tepeyac,Residential,Queretaro
76147,Enrique Burgos (La Rinconada),Residential,Queretaro
76178,Ensueño,Residential,Queretaro
76147,Epigmenio González (El Oasis),Residential,Queretaro
76116,Eucaliptos,Residential,Queretaro
76134,Ex-Hacienda El Tintero,Residential,Queretaro
76116,Ex-Hacienda Santana,Residential,Queretaro
76150,Felipe Ángeles,Residential,Queretaro
76121,Felipe Ángeles,Residential,Queretaro
76117,Fernando de Tapia,Residential,Queretaro
