AGEB KEY,POPULATION,Population from zero to 14 years,Population aged 18 to 24 that attends school,Population of 18 years and over with post-basic education,Economically active population,Population entitled to health services,IMSS entitled population,ISSSTE entitled population,Population entitled by Seguro Popular,Married or united population of 12 years and over,Population in census households,Total homes,Inhabited private homes that have internet,Inhabited private homes that have a cell phone,Inhabited private homes that have a computer,Inhabited private homes that have a car or truck,Inhabited private homes that have a washing machine,Inhabited private homes that have a refrigerator,Inhabited private homes that have a television,"Inhabited private homes that have electricity, piped water from the public network and drainage",Inhabited private homes that have electric light,Private dwellings inhabited with a floor made of different material than earth,Occupants in inhabited private homes
2200143882002,53,20,0,19,21,43,38,*,3,21,53,20,*,14,5,9,10,13,14,14,14,14,53
2200143882003,743,254,4,254,384,641,592,20,18,375,740,355,24,207,64,138,174,213,217,223,223,223,740
2200143882004,961,306,22,399,462,818,654,112,56,477,943,578,47,269,112,161,222,261,276,280,280,278,943
2200143882005,101,36,*,40,54,88,73,4,11,46,101,44,*,31,11,16,24,30,33,33,33,33,101
2200143882006,209,74,*,63,98,176,158,8,14,95,209,80,8,56,19,32,44,57,58,60,60,60,209
2200143882007,338,116,9,131,158,260,221,17,20,170,335,163,24,93,39,61,76,91,96,97,97,94,335
2200143882008,35,13,0,15,16,34,14,10,9,17,35,31,3,13,4,9,10,12,12,13,13,12,35
2200143882009,105,37,*,39,57,98,82,13,3,53,105,65,5,32,11,19,29,32,34,34,34,33,105
2200143882010,86,29,4,23,43,71,63,4,3,34,83,32,*,21,9,14,17,21,23,23,23,23,83
2200143882011,60,18,*,26,32,55,48,*,5,29,60,32,5,20,7,8,14,20,22,22,22,22,60
2200143882012,191,67,3,79,91,150,140,7,3,100,191,99,18,51,27,43,52,53,56,56,56,56,191
2200143882013,233,83,5,84,100,202,178,6,18,115,233,109,11,68,21,43,56,66,70,70,70,70,233
2200143882014,173,69,*,62,75,142,116,19,6,82,173,72,10,52,20,36,45,52,52,46,52,52,173
